"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Pennsylvania",,"PA",,,,2.29166666666667,85.76,4.4219,2.5727,161100,0.248911014312383,3.73470701867354,0.0236064556176288,,0.100856384052536,0.0519607047610548,85
"State","Rhode Island",,"RI",,,,3.33333333333333,84.18,5.606,3.7875,259300,0.894941634241245,7.68272425249169,0.0362900115696105,,0.102242089046569,0.0588174340871222,80
"State","South Carolina",,"SC",,,,5.625,86.85,3.1545,1.0227,145300,0.345303867403315,4.83405483405483,0.0355609084652444,,0.0966878024559684,0.0469759551543829,87
"State","South Dakota",,"SD",,,,5.41666666666667,,,,172100,0.0581395348837209,3.17745803357314,0.0302208018593841,,0.109982934811926,0.0117911210599148,66
"State","Tennessee",,"TN",,,,8.75,89.92,,,144100,0.628491620111732,8.8368580060423,0.0381540596807772,,0.101254035630074,0.0279839560446214,71
"State","Texas",,"TX",,,,9.16666666666667,97.09,,,170200,0.176574455562095,5.9116365899191,0.0363572267920094,,,,66
"State","Utah",,"UT",,,,3.54166666666667,90.59,,,254200,0.157604412923562,7.48414376321353,0.0203973249409914,,0.118357011659727,0.0146454419630948,63
"State","Virginia",,"VA",,,,2.70833333333333,83.09,4.301,2.6026,245700,0.163065633917652,3.80228136882129,0.0254863654863655,,0.117031343005657,0.0284778874245622,75
"State","Washington",,"WA",,,,9.58333333333333,96.14,3.9707,2.0805,343800,0.821114369501466,10.9748224661072,0.0450319953461316,,0.0655523440829871,0.0268758088540453,53
"State","Wisconsin",,"WI",,,,6.04166666666667,89.95,2.1365,0.9433,167400,0.419916016796641,5.94936708860759,0.0312126642771804,,0.105980237641164,0.031557904969194,73
"State","West Virginia",,"WV",,,,6.25,87.04,,0.3122,102200,0.392927308447937,1.89431704885344,0.0354990215264188,,0.138235320261492,0.0257890856084965,95
